Rank,Name,Conference,Record,Road,Neutral,Home,Non-Div 1
267,Houston Christian,Southland,7-11-0,2-5-0,1-3-0,4-3-0,0-0-0
268,Wagner,NEC,8-8-4,4-5-3,0-0-0,4-3-1,0-0-0
269,Nevada,Mountain West,6-10-5,2-7-3,0-1-0,4-2-2,0-0-0
270,Rice,AAC,3-13-2,3-6-1,0-0-0,0-7-1,0-0-0
271,Colorado Col.,Mountain West,3-13-2,2-9-0,0-0-0,1-4-2,0-0-0
272,Coastal Carolina,Sun Belt,3-12-2,0-6-1,0-0-0,3-6-1,0-0-0
273,Southern Ind.,OVC,4-8-7,1-5-3,0-0-0,3-3-4,0-0-0
274,Southern U.,SWAC,8-6-4,3-5-3,0-1-0,5-0-1,0-0-0
275,Portland St.,Big Sky,7-8-2,3-3-1,1-1-0,3-4-1,1-0-0
276,A&M-Corpus Christi,Southland,7-8-4,4-5-2,0-0-0,3-3-2,0-0-0
277,Wofford,SoCon,5-11-4,1-8-0,0-0-0,4-3-4,0-0-0
278,Charleston So.,Big South,9-5-4,5-2-3,0-1-0,4-2-1,0-0-0
279,Col. of Charleston,CAA,2-10-5,0-7-1,0-0-0,2-3-4,0-0-0
280,Bellarmine,ASUN,3-9-5,1-4-3,0-0-0,2-5-2,1-0-0
281,UIW,Southland,6-8-2,0-5-2,0-0-0,6-3-0,0-0-0
282,Purdue Fort Wayne,Horizon,4-7-6,1-5-3,0-0-0,3-2-3,1-0-0
283,The Citadel,SoCon,2-9-6,1-4-5,1-0-0,0-5-1,1-0-0
284,Temple,AAC,2-13-3,0-7-1,0-0-0,2-6-2,0-0-0
285,Manhattan,MAAC,4-7-4,3-3-2,0-0-0,1-4-2,0-0-0
286,San Diego,WCC,1-15-2,1-8-0,0-1-0,0-6-2,0-0-0
287,Illinois St.,MVC,3-9-4,1-5-2,0-0-0,2-4-2,0-0-0
288,American,Patriot,3-9-4,1-6-1,0-0-0,2-3-3,0-0-0
289,Siena,MAAC,4-9-4,3-4-2,0-0-0,1-5-2,0-0-0
290,Rider,MAAC,7-9-2,3-4-2,0-0-0,4-5-0,0-0-0
291,Austin Peay,ASUN,5-11-5,1-9-2,0-0-1,4-2-2,0-0-0
292,CSU Bakersfield,Big West,3-9-4,2-4-3,0-0-0,1-5-1,0-1-0
293,Richmond,Atlantic 10,3-11-4,2-6-1,0-0-0,1-5-3,0-0-0
294,Idaho St.,Big Sky,4-13-2,2-7-1,0-1-0,2-5-1,0-0-0
295,Southern Utah,WAC,3-11-5,1-7-3,0-1-0,2-3-2,0-0-0
296,Central Mich.,MAC,2-8-6,1-5-3,0-0-0,1-3-3,0-0-0
297,Cleveland St.,Horizon,4-10-3,2-5-2,0-0-0,2-5-1,0-0-0
